location_wb,Number of Subjects,CV-death,Major CVD,MI,Stroke,Heart Failure
India,28148,1660,2423,1409,594,80
China,44261,797,3467,911,2430,187
South Africa,4316,179,238,41,83,43
Colombia,7252,198,421,229,91,66
United Arab Emirates,1427,31,113,51,42,31
Zimbabwe,1188,71,100,17,33,32
Brazil,5662,121,347,186,112,51
Sweden,3989,21,190,85,74,32
Chile,3471,71,221,85,95,60
"Iran, Islamic Rep.",5654,52,180,115,47,6
Canada,9853,64,448,258,138,68
Argentina,7240,177,357,174,138,33
Poland,1896,43,151,60,57,40
Malaysia,15346,558,986,457,303,125
Bangladesh,2856,66,261,166,106,7
Turkey,3763,108,290,168,75,51
Pakistan,2231,62,115,80,32,4
Tanzania,1955,52,64,9,19,3
West Bank and Gaza,1554,10,43,26,13,4
Saudi Arabia,1976,15,44,30,8,3
Philippines,4081,64,147,59,77,7
Peru,2311,29,65,23,30,13
Russian Federation,1139,9,28,12,13,5
Kazakhstan,591,0,9,3,4,2
Kyrgyz Republic,683,0,14,4,4,6
Ecuador,1933,6,20,13,7,1
All Country,164776,4464,10742,4671,4625,960
