"Country","MI_ratio","stroke_ratio","HF_ratio"
"India",0.350140056022409,0.171428571428571,0.0263305322128852
"China",0.869897959183674,2.5765306122449,0.156887755102041
"South Africa",0.171779141104294,0.196319018404908,0.147239263803681
"Colombia",0.686868686868687,0.308080808080808,0.308080808080808
"UAE",1.40625,1.15625,0.6875
"Zimbabwe",0.0909090909090909,0.151515151515152,0.272727272727273
"Brazil",0.834532374100719,0.546762589928058,0.201438848920863
"Sweden",4.14285714285714,3.71428571428571,1.57142857142857
"Chile",0.918918918918919,1,0.621621621621622
"Iran",2.17307692307692,0.807692307692308,0.115384615384615
"Canada",3.67164179104478,1.80597014925373,0.955223880597015
"Argentina",0.494623655913978,0.483870967741935,0.118279569892473
"Poland",1.13636363636364,1.13636363636364,0.659090909090909
"Malaysia",0.419191919191919,0.287878787878788,0.14983164983165
"Bangladesh",2.27272727272727,1.09090909090909,0.0454545454545455
"Turkey",1.27522935779817,0.504587155963303,0.357798165137615
"Pakistan",0.612903225806452,0.236559139784946,0.021505376344086
"Tanzania",0.087719298245614,0.12280701754386,0.0175438596491228
"Palestine",7.58333333333333,3.33333333333333,0.5
"Saudi Arabia",1.46666666666667,0.266666666666667,0.133333333333333
"Philippines",0.183333333333333,1.11666666666667,0.0833333333333333
"Peru",0.206896551724138,0.758620689655172,0.310344827586207
"Russia",0.777777777777778,1,0.777777777777778
"Ecuador",1.2,1,0.2
"99",0.65450643776824,0.748283261802575,0.152145922746781
