,intervention,year,Incidence,Prevalence,CVD_deaths,All_deaths,,,,
1,Baseline,2020,34069493.71,300482607.5,16822570.8,51493358.59,,,,
2,Baseline,2050,67332420.52,597084458.5,40408451.11,86392692.96,,,,
3,Scenario 1,2050,62987189.5,579712035.3,36994891.82,83899176.94,,,,
4,Scenario 2,2050,58213329.02,557830686.6,33485563.51,81383036.99,,,,
5,Scenario 3,2050,59520326.66,545314991.2,32958914.66,81915479.73,,,,
6,Scenario 4,2050,57478239.06,534783057.5,31561100.59,80858273.67,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,34.06949371,300.4826075,16.8225708,51.49335859,,,,
,,,67.33242052,597.0844585,40.40845111,86.39269296,,,,
,,,62.9871895,579.7120353,36.99489182,83.89917694,,4.345231022,0.02909542,3.413559296
,,,58.21332902,557.8306866,33.48556351,81.38303699,,9.119091504,0.065742411,6.922887602
,,,59.52032666,545.3149912,32.95891466,81.91547973,,7.812093865,0.08670376,7.449536453
,,,57.47823906,534.7830575,31.56110059,80.85827367,,9.854181458,0.104342694,8.847350528
