age,new_CF,Scenario,,0.05,,,,,,
80,0.05592085,Scenario 4 (20-95),,,,,,,,
81,0.060612867,Scenario 4,,,,,,,,
82,0.065304875,Scenario 4,,,,,,,,
83,0.071441321,Scenario 4,,,,,,,,
84,0.077577742,Scenario 4,,,,,,,,
85,0.083714245,Scenario 4,,,,,,,,
86,0.089850642,Scenario 4,,,,,,,,
87,0.095987121,Scenario 4,,,,,,,,
88,0.103723113,Scenario 4,,,,,,,,
89,0.111459106,Scenario 4,,,,,,,,
90,0.119195098,Scenario 4,,,,,,,,
91,0.126931173,Scenario 4,,,,,,,,
92,0.134667083,Scenario 4,,,,,,,,
93,0.134667083,Scenario 4,,,,,,,,
94,0.134667083,Scenario 4,,,0.1635103,,,,,
80,0.06789807,Scenario 4 (55-79),,,,,,,,
81,0.07359503,Scenario 4 (55-79),,,,,,,,
82,0.07929198,Scenario 4 (55-79),,,,,,,,
83,0.08674274,Scenario 4 (55-79),,,,,,,,
84,0.09419347,Scenario 4 (55-79),,,,,,,,
85,0.1016443,Scenario 4 (55-79),,,,,,,,
86,0.109095,Scenario 4 (55-79),,,,,,,,
87,0.1165458,Scenario 4 (55-79),,,,,,,,
88,0.1259387,Scenario 4 (55-79),,,,,,20-95,,55-79
89,0.1353316,Scenario 4 (55-79),,,,,80,0.05592085,0.0576,0.06789807
90,0.1447245,Scenario 4 (55-79),,,,,81,0.060612867,0.0652,0.07359503
91,0.1541175,Scenario 4 (55-79),,,,,82,0.065304875,0.0728,0.07929198
92,0.1635103,Scenario 4 (55-79),,,,,83,0.071441321,0.0804,0.08674274
93,0.1635103,Scenario 4 (55-79),,,,,84,0.077577742,0.088,0.09419347
94,0.1635103,Scenario 4 (55-79),,,,,85,0.083714245,0.0956,0.1016443
,,,,,,,86,0.089850642,0.1032,0.109095
,,,,,,,87,0.095987121,0.1108,0.1165458
,,,,,,,88,0.103723113,0.1184,0.1259387
,,,,,,,89,0.111459106,0.126,0.1353316
,,,,,,,90,0.119195098,0.1336,0.1447245
,,,,,,,91,0.126931173,0.1412,0.1541175
,,,,,,,92,0.134667083,0.1488,0.1635103
,,,,,,,93,0.134667083,0.1564,0.1635103
,,,,,,,94,0.134667083,,
